metric	value
flush_mode	explicit
experiment_id	E016
planned_span_count	500
flush_trigger	background
processor_schedule_delay_milliseconds	15000
max_export_batch_size	256
payload_attribute_bytes	0
persistence_object_policy	encodedByteBudget
persistence_object_byte_budget	262144
persistence_object_partition_strategy	binarySearchEncoding
main_queue_probe	enabled
background_app	com.apple.mobilesafari
stop_mechanism	direct_sigkill
first_process_pid	94478
generated_records_before_background	500
ledger_to_background_nanoseconds	2008125696
background_before_schedule_boundary	true
flush_duration_nanoseconds	476152500
main_queue_probe_delay_nanoseconds	702835375
main_queue_probe_overhead_nanoseconds	226682875
stop_trigger	main_queue_probe_executed
first_process_http_records_before_stop	0
persistence_visible_before_request	true
persistence_files_after_termination	1
