metric	value
flush_mode	explicit
experiment_id	E016
planned_span_count	500
flush_trigger	background
processor_schedule_delay_milliseconds	15000
max_export_batch_size	100
payload_attribute_bytes	0
persistence_object_policy	sdkNative
persistence_object_byte_budget	262144
persistence_object_partition_strategy	linearPrefixEncoding
main_queue_probe	enabled
background_app	com.apple.mobilesafari
stop_mechanism	direct_sigkill
first_process_pid	92977
generated_records_before_background	500
ledger_to_background_nanoseconds	3224402944
background_before_schedule_boundary	true
flush_duration_nanoseconds	72964417
main_queue_probe_delay_nanoseconds	297103875
main_queue_probe_overhead_nanoseconds	224139458
stop_trigger	main_queue_probe_executed
first_process_http_records_before_stop	0
persistence_visible_before_request	true
persistence_files_after_termination	1
