metric	value
flush_mode	explicit
experiment_id	E011
planned_span_count	100
flush_trigger	background
processor_schedule_delay_milliseconds	15000
max_export_batch_size	100
payload_attribute_bytes	1536
background_app	com.apple.mobilesafari
stop_mechanism	direct_sigkill
first_process_pid	69288
generated_records_before_background	100
ledger_to_background_nanoseconds	1931075840
background_before_schedule_boundary	true
flush_duration_nanoseconds	48876167
stop_trigger	flush_completed
first_process_http_records_before_stop	0
persistence_visible_before_request	false
persistence_files_after_termination	0
